plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	raw_r3_ch1	raw_r4_ch1	raw_r5_ch1	median_ch1	average_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	raw/PlateMedian_r3_ch1	raw/PlateMedian_r4_ch1	raw/PlateMedian_r5_ch1	normalized_r1_ch1	normalized_r2_ch1	normalized_r3_ch1	normalized_r4_ch1	normalized_r5_ch1	PlateName	drug1	concdrug1.micro_M.	drug2	concdrug2.micro_M.	GeneID
2	303	4.53	M15	sample	sample	601651	619898	922972	NA	NA	619898	714840.333333333	0.299	0.33	0.477	NA	NA	0.731	0.745	0.829	NA	NA	2	Disulfiram	0.15625	WORT	0.15625	Disulfiram_0.15625_WORT_0.15625
1	229	4.45	J13	sample	sample	406409	427141	438020	936148	603277	438020	562199	0.275	0.265	0.263	0.74	0.301	0.725	0.718	0.715	0.971	0.746	1	Disulfiram	0.3125	DMSO	0	Disulfiram_0.3125_DMSO_0.3125
1	110	4.39	E14	sample	sample	418079	452661	506219	393220	710403	452661	496116.4	0.283	0.281	0.304	0.311	0.354	0.73	0.73	0.745	0.788	0.779	1	Disulfiram	0.625	PD	0.625	Disulfiram_0.625_PD_0.625
1	88	4.34	D16	sample	sample	585626	363359	362964	776497	727925	585626	563274.2	0.396	0.225	0.218	0.614	0.363	0.799	0.685	0.677	0.931	0.784	1	Disulfiram	1.25	U0126	1.25	Disulfiram_1.25_U0126_1.25
2	227	4.29	J11	sample	sample	597880	723134	928894	NA	NA	723134	749969.333333333	0.297	0.385	0.48	NA	NA	0.73	0.778	0.83	NA	NA	2	Disulfiram	0.625	DMSO	0	Disulfiram_0.625_DMSO_0.625
2	228	4.23	J12	sample	sample	633866	763159	863114	NA	NA	763159	753379.666666667	0.315	0.407	0.446	NA	NA	0.742	0.789	0.815	NA	NA	2	Disulfiram	0.3125	DMSO	0	Disulfiram_0.3125_DMSO_0.3125
2	299	4.2	M11	sample	sample	863982	513880	982916	NA	NA	863982	786926	0.429	0.274	0.508	NA	NA	0.807	0.705	0.842	NA	NA	2	Disulfiram	0.625	WORT	0.625	Disulfiram_0.625_WORT_0.625
2	248	4.09	K08	sample	sample	800071	852058	667568	NA	NA	800071	773232.333333333	0.398	0.454	0.345	NA	NA	0.791	0.813	0.761	NA	NA	2	Disulfiram	0.078125	MK2206	0.078125	Disulfiram_0.078125_MK2206_0.078125
2	229	4.06	J13	sample	sample	905788	466454	1142241	NA	NA	905788	838161	0.45	0.248	0.59	NA	NA	0.817	0.685	0.874	NA	NA	2	Disulfiram	0.3125	DMSO	0	Disulfiram_0.3125_DMSO_0.3125
1	104	4	E08	sample	sample	370045	602415	496870	334582	1016403	496870	564063	0.25	0.374	0.299	0.264	0.507	0.705	0.789	0.741	0.753	0.852	1	Disulfiram	0.078125	PD	0.078125	Disulfiram_0.078125_PD_0.078125
1	304	4	M16	sample	sample	587687	576447	468835	308759	739202	576447	536186	0.398	0.358	0.282	0.244	0.368	0.8	0.78	0.729	0.736	0.787	1	Disulfiram	1.25	WORT	1.25	Disulfiram_1.25_WORT_1.25
2	231	3.97	J15	sample	sample	925006	558175	984288	NA	NA	925006	822489.666666667	0.46	0.297	0.509	NA	NA	0.821	0.723	0.842	NA	NA	2	Disulfiram	0.15625	DMSO	0	Disulfiram_0.15625_DMSO_0.15625
1	225	3.94	J09	sample	sample	748223	364974	389758	873585	802824	748223	635872.8	0.506	0.226	0.234	0.69	0.4	0.849	0.686	0.691	0.956	0.804	1	Disulfiram	1.25	DMSO	0	Disulfiram_1.25_DMSO_1.25
2	276	3.85	L12	sample	sample	770002	707660	1007697	NA	NA	770002	828453	0.383	0.377	0.521	NA	NA	0.783	0.773	0.847	NA	NA	2	Disulfiram	0.3125	AKTi VIII	0.3125	Disulfiram_0.3125_AKTi VIII_0.3125
1	243	3.82	K03	sample	sample	641446	538105	532170	255035	848704	538105	563092	0.434	0.334	0.32	0.202	0.423	0.818	0.766	0.755	0.696	0.815	1	Bendamustine	10	MK2206	10	Bendamustine_10_MK2206_10
2	291	3.79	M03	sample	sample	830767	658021	1047925	NA	NA	830767	845571	0.413	0.351	0.542	NA	NA	0.799	0.758	0.856	NA	NA	2	Disulfiram	10	WORT	10	Disulfiram_10_WORT_10
2	301	3.66	M13	sample	sample	778664	781638	1021278	NA	NA	781638	860526.666666667	0.387	0.416	0.528	NA	NA	0.785	0.794	0.85	NA	NA	2	Disulfiram	0.3125	WORT	0.3125	Disulfiram_0.3125_WORT_0.3125
1	114	3.61	E18	sample	sample	427758	548534	411039	685898	1402559	548534	695157.6	0.289	0.34	0.247	0.542	0.699	0.735	0.77	0.702	0.905	0.917	1	Disulfiram	2.5	PD	2.5	Disulfiram_2.5_PD_2.5
1	297	3.59	M09	sample	sample	913913	593836	575686	195072	721107	593836	599922.8	0.618	0.368	0.346	0.154	0.359	0.89	0.786	0.772	0.64	0.782	1	Disulfiram	1.25	WORT	1.25	Disulfiram_1.25_WORT_1.25
1	113	3.47	E17	sample	sample	619638	450253	720291	390683	1002512	619638	636675.4	0.419	0.279	0.433	0.309	0.5	0.811	0.729	0.818	0.786	0.849	1	Disulfiram	0.078125	PD	0.078125	Disulfiram_0.078125_PD_0.078125
1	293	3.37	M05	sample	sample	808078	566755	796570	176035	838529	796570	637193.4	0.547	0.352	0.479	0.139	0.418	0.865	0.776	0.839	0.618	0.813	1	Disulfiram	5	WORT	5	Disulfiram_5_WORT_5
1	298	3.36	M10	sample	sample	835085	610560	570193	304658	859551	610560	636009.4	0.565	0.379	0.343	0.241	0.428	0.872	0.792	0.77	0.734	0.818	1	Disulfiram	0.15625	WORT	0.15625	Disulfiram_0.15625_WORT_0.15625
1	232	3.34	J16	sample	sample	715289	774450	577119	509648	660986	660986	647498.4	0.484	0.48	0.347	0.403	0.329	0.84	0.84	0.772	0.842	0.764	1	Disulfiram	1.25	DMSO	0	Disulfiram_1.25_DMSO_1.25
1	105	3.33	E09	sample	sample	678450	723415	681180	284922	789818	681180	631557	0.459	0.449	0.409	0.225	0.394	0.829	0.826	0.806	0.719	0.8	1	Disulfiram	1.25	PD	1.25	Disulfiram_1.25_PD_1.25
2	277	3.29	L13	sample	sample	1051214	816393	933288	NA	NA	933288	933631.666666667	0.522	0.435	0.482	NA	NA	0.848	0.804	0.831	NA	NA	2	Disulfiram	0.3125	AKTi VIII	0.3125	Disulfiram_0.3125_AKTi VIII_0.3125
1	89	3.23	D17	sample	sample	670944	442602	658870	881520	1010632	670944	732913.6	0.454	0.275	0.396	0.697	0.504	0.827	0.726	0.8	0.958	0.85	1	Disulfiram	0.078125	U0126	0.078125	Disulfiram_0.078125_U0126_0.078125
2	46	3.23	B22	sample	sample	1035768	766922	1057819	NA	NA	1035768	953503	0.515	0.409	0.547	NA	NA	0.845	0.79	0.858	NA	NA	2	Bendamustine	10	DMSO	0	Bendamustine_10_DMSO_10
1	90	3.22	D18	sample	sample	785520	461044	531827	1000939	984231	785520	752712.2	0.532	0.286	0.32	0.791	0.491	0.859	0.734	0.755	0.985	0.845	1	Disulfiram	2.5	U0126	2.5	Disulfiram_2.5_U0126_2.5
1	118	3.18	E22	sample	sample	559412	660184	479949	956749	1121589	660184	755576.6	0.379	0.409	0.288	0.756	0.559	0.79	0.808	0.734	0.975	0.871	1	Disulfiram	10	PD	10	Disulfiram_10_PD_10
2	233	3.1	J17	sample	sample	909338	1063254	934979	NA	NA	934979	969190.333333333	0.452	0.566	0.483	NA	NA	0.818	0.86	0.832	NA	NA	2	Disulfiram	0.078125	DMSO	0	Disulfiram_0.078125_DMSO_0.078125
2	256	3.03	K16	sample	sample	1191093	692183	1176242	NA	NA	1176242	1019839.33333333	0.592	0.369	0.608	NA	NA	0.874	0.769	0.88	NA	NA	2	Disulfiram	1.25	MK2206	1.25	Disulfiram_1.25_MK2206_1.25
1	219	3.02	J03	sample	sample	673333	339395	774497	1313485	1243326	774497	868807.2	0.456	0.211	0.465	1.04	0.62	0.828	0.671	0.833	1.042	0.892	1	Disulfiram	10	DMSO	0	Disulfiram_10_DMSO_10
2	226	2.94	J10	sample	sample	866328	1173486	987532	NA	NA	987532	1009115.33333333	0.431	0.625	0.51	NA	NA	0.808	0.881	0.843	NA	NA	2	Disulfiram	0.15625	DMSO	0	Disulfiram_0.15625_DMSO_0.15625
2	281	2.93	L17	sample	sample	906114	1063792	1053277	NA	NA	1053277	1007727.66666667	0.45	0.567	0.544	NA	NA	0.817	0.86	0.857	NA	NA	2	Disulfiram	0.078125	AKTi VIII	0.078125	Disulfiram_0.078125_AKTi VIII_0.078125
1	53	2.86	C05	sample	sample	485433	551746	824127	387338	1851262	551746	819981.2	0.329	0.342	0.495	0.306	0.923	0.761	0.771	0.846	0.784	0.973	1	Bendamustine	5	WORT	5	Bendamustine_5_WORT_5
2	230	2.84	J14	sample	sample	1336060	802156	1020571	NA	NA	1020571	1052929	0.664	0.427	0.527	NA	NA	0.899	0.8	0.85	NA	NA	2	Disulfiram	0.625	DMSO	0	Disulfiram_0.625_DMSO_0.625
1	295	2.81	M07	sample	sample	857794	924022	827696	146119	951329	857794	741392	0.58	0.573	0.497	0.115	0.474	0.877	0.877	0.847	0.578	0.838	1	Disulfiram	2.5	WORT	2.5	Disulfiram_2.5_WORT_2.5
1	291	2.76	M03	sample	sample	1036145	944017	821259	154758	812554	821259	753746.6	0.701	0.586	0.493	0.122	0.405	0.916	0.881	0.845	0.591	0.806	1	Disulfiram	10	WORT	10	Disulfiram_10_WORT_10
1	223	2.76	J07	sample	sample	534474	689851	656279	830533	1426827	689851	827592.8	0.362	0.428	0.394	0.656	0.711	0.781	0.817	0.799	0.945	0.92	1	Disulfiram	2.5	DMSO	0	Disulfiram_2.5_DMSO_2.5
1	103	2.75	E07	sample	sample	890035	697791	850485	330916	947874	850485	743420.2	0.602	0.433	0.511	0.262	0.472	0.885	0.819	0.852	0.751	0.837	1	Disulfiram	2.5	PD	2.5	Disulfiram_2.5_PD_2.5
1	99	2.7	E03	sample	sample	799207	864872	580061	309321	1318202	799207	774332.6	0.541	0.536	0.349	0.244	0.657	0.863	0.863	0.773	0.737	0.904	1	Disulfiram	10	PD	10	Disulfiram_10_PD_10
1	226	2.62	J10	sample	sample	680492	632213	733118	1176993	1147041	733118	873971.4	0.461	0.392	0.441	0.93	0.572	0.83	0.799	0.822	1.019	0.876	1	Disulfiram	0.15625	DMSO	0	Disulfiram_0.15625_DMSO_0.15625
1	46	2.54	B22	sample	sample	659262	807886	830511	811996	1027284	811996	827387.8	0.446	0.501	0.499	0.642	0.512	0.824	0.849	0.847	0.941	0.854	1	Bendamustine	10	DMSO	0	Bendamustine_10_DMSO_10
2	232	2.5	J16	sample	sample	1386575	686455	1478504	NA	NA	1386575	1183844.66666667	0.689	0.366	0.764	NA	NA	0.906	0.767	0.928	NA	NA	2	Disulfiram	1.25	DMSO	0	Disulfiram_1.25_DMSO_1.25
2	304	2.45	M16	sample	sample	1369306	939125	1104685	NA	NA	1104685	1137705.33333333	0.681	0.5	0.571	NA	NA	0.904	0.833	0.867	NA	NA	2	Disulfiram	1.25	WORT	1.25	Disulfiram_1.25_WORT_1.25
2	351	2.44	O15	sample	sample	2728714	223759	2554079	NA	NA	2554079	1835517.33333333	1.36	0.119	1.32	NA	NA	1.049	0.529	1.043	NA	NA	2	AKTi VIII	0.15625	DMSO	0	AKTi VIII_0.15625_DMSO_0.15625
2	27	2.43	B03	sample	sample	1119198	1242268	1021927	NA	NA	1119198	1127797.66666667	0.556	0.662	0.528	NA	NA	0.861	0.893	0.85	NA	NA	2	Bendamustine	10	DMSO	0	Bendamustine_10_DMSO_10
1	81	2.41	D09	sample	sample	747265	639910	699195	1409123	1290117	747265	957122	0.506	0.397	0.42	1.11	0.643	0.849	0.801	0.812	1.057	0.9	1	Disulfiram	1.25	U0126	1.25	Disulfiram_1.25_U0126_1.25
2	258	2.37	K18	sample	sample	1345289	732832	1554346	NA	NA	1345289	1210822.33333333	0.669	0.39	0.803	NA	NA	0.9	0.781	0.939	NA	NA	2	Disulfiram	2.5	MK2206	2.5	Disulfiram_2.5_MK2206_2.5
2	310	2.36	M22	sample	sample	1127055	909338	1490595	NA	NA	1127055	1175662.66666667	0.56	0.484	0.77	NA	NA	0.863	0.827	0.93	NA	NA	2	Disulfiram	10	WORT	10	Disulfiram_10_WORT_10
2	275	2.36	L11	sample	sample	1457697	1092741	943573	NA	NA	1092741	1164670.33333333	0.725	0.582	0.488	NA	NA	0.917	0.866	0.833	NA	NA	2	Disulfiram	0.625	AKTi VIII	0.625	Disulfiram_0.625_AKTi VIII_0.625
2	247	2.35	K07	sample	sample	1227063	898985	1393051	NA	NA	1227063	1173033	0.61	0.479	0.72	NA	NA	0.881	0.824	0.916	NA	NA	2	Disulfiram	2.5	MK2206	2.5	Disulfiram_2.5_MK2206_2.5
1	303	2.29	M15	sample	sample	838136	900586	894710	501767	1074317	894710	841903.2	0.567	0.559	0.538	0.397	0.535	0.873	0.871	0.863	0.839	0.863	1	Disulfiram	0.15625	WORT	0.15625	Disulfiram_0.15625_WORT_0.15625
1	92	2.29	D20	sample	sample	826695	935253	585949	1103403	1178495	935253	925959	0.559	0.58	0.352	0.872	0.587	0.87	0.879	0.775	1.005	0.881	1	Disulfiram	5	U0126	5	Disulfiram_5_U0126_5
2	278	2.25	L14	sample	sample	1414035	928350	1254527	NA	NA	1254527	1198970.66666667	0.703	0.495	0.648	NA	NA	0.911	0.831	0.894	NA	NA	2	Disulfiram	0.625	AKTi VIII	0.625	Disulfiram_0.625_AKTi VIII_0.625
1	310	2.22	M22	sample	sample	681922	986447	762166	664371	1362132	762166	891407.6	0.461	0.612	0.458	0.525	0.679	0.83	0.89	0.83	0.898	0.911	1	Disulfiram	10	WORT	10	Disulfiram_10_WORT_10
1	231	2.21	J15	sample	sample	802022	783924	900242	1224025	1019956	900242	946033.8	0.543	0.486	0.541	0.967	0.508	0.864	0.843	0.864	1.027	0.852	1	Disulfiram	0.15625	DMSO	0	Disulfiram_0.15625_DMSO_0.15625
1	221	2.15	J05	sample	sample	941617	859890	836677	865781	1034151	865781	907623.2	0.637	0.533	0.503	0.684	0.515	0.896	0.862	0.849	0.954	0.855	1	Disulfiram	5	DMSO	0	Disulfiram_5_DMSO_5
1	116	2.13	E20	sample	sample	966962	733312	858554	668065	1301925	858554	905763.6	0.654	0.455	0.516	0.528	0.649	0.902	0.829	0.854	0.899	0.902	1	Disulfiram	5	PD	5	Disulfiram_5_PD_5
2	249	2.13	K09	sample	sample	1226829	1129710	1280761	NA	NA	1226829	1212433.33333333	0.61	0.602	0.662	NA	NA	0.881	0.873	0.898	NA	NA	2	Disulfiram	1.25	MK2206	1.25	Disulfiram_1.25_MK2206_1.25
1	306	2.12	M18	sample	sample	860843	1225435	1141185	369762	833986	860843	886242.2	0.583	0.76	0.686	0.292	0.416	0.878	0.934	0.913	0.775	0.812	1	Disulfiram	2.5	WORT	2.5	Disulfiram_2.5_WORT_2.5
2	118	2.11	E22	sample	sample	972815	1401087	1304637	NA	NA	1304637	1226179.66666667	0.484	0.746	0.674	NA	NA	0.832	0.918	0.902	NA	NA	2	Bendamustine	10	PD	10	Bendamustine_10_PD_10
2	296	2.08	M08	sample	sample	1065636	1171246	1470352	NA	NA	1171246	1235744.66666667	0.53	0.624	0.76	NA	NA	0.851	0.88	0.927	NA	NA	2	Disulfiram	0.078125	WORT	0.078125	Disulfiram_0.078125_WORT_0.078125
2	259	2.04	K19	sample	sample	1244247	1203376	1251432	NA	NA	1244247	1233018.33333333	0.618	0.641	0.647	NA	NA	0.884	0.886	0.893	NA	NA	2	Disulfiram	0.0390625	MK2206	0.0390625	Disulfiram_0.0390625_MK2206_0.0390625
2	224	2.02	J08	sample	sample	1130288	1234592	1370059	NA	NA	1234592	1244979.66666667	0.562	0.658	0.708	NA	NA	0.863	0.892	0.912	NA	NA	2	Disulfiram	0.078125	DMSO	0	Disulfiram_0.078125_DMSO_0.078125
1	238	2.01	J22	sample	sample	904003	648703	854479	1333893	1398215	904003	1027858.6	0.612	0.402	0.513	1.05	0.697	0.888	0.804	0.853	1.045	0.916	1	Disulfiram	10	DMSO	0	Disulfiram_10_DMSO_10
